All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
4.091667;0.172600;0.086400;1.004971;1.000000;1.021782
4.101667;0.172600;0.086400;1.004971;1.000000;1.021782
4.111667;0.172600;0.086400;1.004971;1.000000;1.021782
4.121667;0.172600;0.086400;1.004971;1.000000;1.021782
4.131667;0.172600;0.086400;1.004971;1.000000;1.021782
4.141667;0.172600;0.086400;1.004971;1.000000;1.021782
4.151667;0.172600;0.086400;1.004971;1.000000;1.021782
4.161667;0.172600;0.086400;1.004971;1.000000;1.021782
4.171667;0.172600;0.086400;1.004971;1.000000;1.021782
4.181667;0.172600;0.086400;1.004971;1.000000;1.021782
4.191667;0.172600;0.086400;1.004971;1.000000;1.021782
4.201667;0.172600;0.086400;1.004971;1.000000;1.021782
4.211667;0.172600;0.086400;1.004971;1.000000;1.021782
4.221667;0.172600;0.086400;1.004971;1.000000;1.021782
