All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
3.961667;0.156101;0.079861;1.024560;1.027362;1.050005
3.971667;0.156101;0.079861;1.024560;1.027362;1.050005
3.981667;0.156101;0.079861;1.024560;1.027362;1.050005
3.991667;0.156101;0.079861;1.024560;1.027362;1.050005
4.001667;0.156101;0.079861;1.024560;1.027362;1.050005
4.011667;0.156101;0.079861;1.024560;1.027362;1.050005
4.021667;0.156101;0.079861;1.024560;1.027362;1.050005
4.031667;0.156101;0.079861;1.024560;1.027362;1.050005
4.041667;0.156101;0.079861;1.024560;1.027362;1.050005
4.051667;0.156101;0.079861;1.024560;1.027362;1.050005
4.061667;0.156101;0.079861;1.024560;1.027362;1.050005
4.071667;0.156101;0.079861;1.024560;1.027362;1.050005
4.081667;0.156101;0.079861;1.024560;1.027362;1.050005
4.091667;0.156101;0.079861;1.024560;1.027362;1.050005
4.101667;0.156101;0.079861;1.024560;1.027362;1.050005
4.111667;0.156101;0.079861;1.024560;1.027362;1.050005
4.121667;0.156101;0.079861;1.024560;1.027362;1.050005
4.131667;0.156101;0.079861;1.024560;1.027362;1.050005
4.141667;0.156101;0.079861;1.024560;1.027362;1.050005
4.151667;0.156101;0.079861;1.024560;1.027362;1.050005
4.161667;0.156101;0.079861;1.024560;1.027362;1.050005
4.171667;0.156101;0.079861;1.024560;1.027362;1.050005
4.181667;0.156101;0.079861;1.024560;1.027362;1.050005
4.191667;0.156101;0.079861;1.024560;1.027362;1.050005
4.201667;0.156101;0.079861;1.024560;1.027362;1.050005
4.211667;0.156101;0.079861;1.024560;1.027362;1.050005
4.221667;0.156101;0.079861;1.024560;1.027362;1.050005
